"dataset_openml_id","dataset_name","attr_name","type_converted","distinct_values_cnt","distinct_values_pct","missing_values_cnt","missing_values_pct","mean","sd","min_val","max_val","range_val","co_of_var"
12,"mfeat-factors","att2",0,446,0.223,0,0,322.7255,109.426588354337,81,565,484,0.339070164441101
12,"mfeat-factors","att3",0,541,0.2705,0,0,774.824500000001,140.141569598441,500,1264,764,0.180868789769091
12,"mfeat-factors","att4",0,440,0.22,0,0,754.339,109.173767612771,543,1134,591,0.14472772534997
12,"mfeat-factors","att5",0,252,0.126,0,0,640.4605,48.9401165431146,437,823,386,0.0764139498737465
12,"mfeat-factors","att6",0,419,0.2095,0,0,684.472,85.0788600194613,439,1047,608,0.124298525022881
12,"mfeat-factors","att7",0,43,0.0215,0,0,19.45,11.351560640039,0,42,42,0.583627796403032
12,"mfeat-factors","att8",0,39,0.0195,0,0,18.373,7.35179538940821,1,39,38,0.400141261057433
12,"mfeat-factors","att9",0,40,0.02,0,0,15.359,8.8872161167124,0,39,39,0.578632470649938
12,"mfeat-factors","att10",0,18,0.009,0,0,9.054,4.0844124684716,0,17,17,0.451116906170931
12,"mfeat-factors","att11",0,19,0.0095,0,0,9.4295,3.97516423753254,0,18,18,0.421566810279712
12,"mfeat-factors","att12",0,18,0.009,0,0,9.4465,3.8290297053225,1,18,17,0.405338453958874
12,"mfeat-factors","att13",0,336,0.168,0,0,291.4065,79.0978539089177,94,494,400,0.271434761780941
12,"mfeat-factors","att14",0,420,0.21,0,0,313.0605,95.3842907464883,96,648,552,0.304683250510647
12,"mfeat-factors","att15",0,421,0.2105,0,0,654.2195,96.3388546081154,422,1060,638,0.147257693492957
12,"mfeat-factors","att16",0,351,0.1755,0,0,671.949,81.9359698214117,527,987,460,0.121937780726531
12,"mfeat-factors","att17",0,257,0.1285,0,0,658.4005,48.6580096253469,429,842,413,0.0739033606829687
12,"mfeat-factors","att18",0,405,0.2025,0,0,941.475,99.9008431607668,587,1146,559,0.106110988779061
12,"mfeat-factors","att19",0,42,0.021,0,0,17.862,10.155221329943,0,41,41,0.56853775220821
12,"mfeat-factors","att20",0,41,0.0205,0,0,23.901,7.37769708019403,1,43,42,0.30867733903159
12,"mfeat-factors","att21",0,41,0.0205,0,0,21.969,7.94056454432815,0,40,40,0.361444059553377
12,"mfeat-factors","att22",0,25,0.0125,0,0,10.378,5.03058340400916,0,24,24,0.484735344383229
12,"mfeat-factors","att23",0,18,0.009,0,0,9.5885,3.61810905122459,1,18,17,0.377338379436261
12,"mfeat-factors","att24",0,21,0.0105,0,0,11.6345,4.13248695995972,0,20,20,0.355192484417871
12,"mfeat-factors","att25",0,302,0.151,0,0,281.4805,60.6667359116435,58,470,412,0.215527313301076
12,"mfeat-factors","att26",0,439,0.2195,0,0,291.3315,108.169339050885,84,603,519,0.371292973986284
12,"mfeat-factors","att27",0,323,0.1615,0,0,730.8535,71.4772238864749,574,1024,450,0.0977996601048979
12,"mfeat-factors","att28",0,323,0.1615,0,0,648.523,72.182620043319,436,992,556,0.111303099571363
12,"mfeat-factors","att29",0,422,0.211,0,0,963.2675,112.426174737616,634,1137,503,0.116713347785134
12,"mfeat-factors","att30",0,377,0.1885,0,0,730.114,77.2268929874836,474,1003,529,0.105773746274532
12,"mfeat-factors","att31",0,41,0.0205,0,0,21.905,9.15930791385082,0,40,40,0.418137772830442
12,"mfeat-factors","att32",0,42,0.021,0,0,21.523,7.30932172585433,0,41,41,0.339605153828664
12,"mfeat-factors","att33",0,44,0.022,0,0,19.814,11.1835566779976,0,43,43,0.564427005046816
12,"mfeat-factors","att34",0,20,0.01,0,0,8.522,4.74760843930357,0,20,20,0.557100262767375
12,"mfeat-factors","att35",0,22,0.011,0,0,9.1565,5.06051500897666,0,21,21,0.552669143119823
12,"mfeat-factors","att36",0,23,0.0115,0,0,8.1255,5.50553405244226,0,22,22,0.677562494916283
12,"mfeat-factors","att37",0,402,0.201,0,0,326.4115,87.7972285691422,76,581,505,0.268977130306813
12,"mfeat-factors","att38",0,483,0.2415,0,0,290.9235,120.497890099824,66,655,589,0.414190981821076
12,"mfeat-factors","att39",0,468,0.234,0,0,820.978500000001,113.677180156767,581,1226,645,0.138465477666915
12,"mfeat-factors","att40",0,411,0.2055,0,0,805.314000000001,101.598206193568,607,1193,586,0.126159741657997
12,"mfeat-factors","att41",0,326,0.163,0,0,798.879499999999,76.6066137248163,559,932,373,0.0958925766962557
12,"mfeat-factors","att42",0,364,0.182,0,0,888.374,80.8735209273938,602,1083,481,0.0910354433238633
12,"mfeat-factors","att43",0,34,0.017,0,0,20.533,7.12932848607295,2,35,33,0.34721319271772
12,"mfeat-factors","att44",0,39,0.0195,0,0,20.904,7.63183506459794,3,41,38,0.365089698842228
12,"mfeat-factors","att45",0,44,0.022,0,0,24.22,9.95013078061166,0,43,43,0.410822905888178
12,"mfeat-factors","att46",0,23,0.0115,0,0,8.996,4.61580294406176,0,23,23,0.513095036022872
12,"mfeat-factors","att47",0,22,0.011,0,0,9.4495,5.5046889603569,0,21,21,0.582537590386465
12,"mfeat-factors","att48",0,23,0.0115,0,0,9.0735,5.42372622401579,0,22,22,0.597754584671382
12,"mfeat-factors","att49",0,300,0.15,0,0,307.2515,64.3030068200006,123,514,391,0.209284598512946
12,"mfeat-factors","att50",0,484,0.242,0,0,312.1625,117.504641457825,71,650,579,0.376421387763826
12,"mfeat-factors","att51",0,471,0.2355,0,0,794.6805,112.439671644975,553,1196,643,0.141490412366951
12,"mfeat-factors","att52",0,413,0.2065,0,0,817.129,95.6891245820634,573,1177,604,0.117104061393077
12,"mfeat-factors","att53",0,375,0.1875,0,0,891.3755,94.5286746702684,604,1048,444,0.106048096083265
12,"mfeat-factors","att54",0,367,0.1835,0,0,738.781,77.7153129951683,475,1011,536,0.105193978994003
12,"mfeat-factors","att55",0,42,0.021,0,0,22.112,10.8702593008922,0,41,41,0.491600004562782
12,"mfeat-factors","att56",0,40,0.02,0,0,20.242,8.53632651877947,1,40,39,0.421713591482041
12,"mfeat-factors","att57",0,44,0.022,0,0,19.814,11.1835566779976,0,43,43,0.564427005046816
12,"mfeat-factors","att58",0,24,0.012,0,0,9.041,4.57490807469899,0,24,24,0.50601792663411
12,"mfeat-factors","att59",0,23,0.0115,0,0,9.9885,5.49540421477273,0,22,22,0.550173120565924
12,"mfeat-factors","att60",0,20,0.01,0,0,10.1725,2.59482375223301,1,20,19,0.255082207149964
12,"mfeat-factors","att61",0,302,0.151,0,0,268.5385,64.1643674540269,106,501,395,0.238939174286096
12,"mfeat-factors","att62",0,348,0.174,0,0,309.2185,78.9715329042981,125,580,455,0.255390712083197
12,"mfeat-factors","att63",0,464,0.232,0,0,656.1535,114.522507133183,442,1093,651,0.174536152185706
12,"mfeat-factors","att64",0,404,0.202,0,0,785.091,91.7040104453774,486,1145,659,0.116806854804573
12,"mfeat-factors","att65",0,449,0.2245,0,0,999.5045,121.161966354114,647,1179,532,0.121222031870906
12,"mfeat-factors","att66",0,383,0.1915,0,0,720.753,81.5827730923185,497,984,487,0.11319102812242
12,"mfeat-factors","att67",0,41,0.0205,0,0,21.294,10.684317541175,0,40,40,0.501752490897672
12,"mfeat-factors","att68",0,38,0.019,0,0,19.771,6.83461154400737,3,40,37,0.345688712963804
12,"mfeat-factors","att69",0,43,0.0215,0,0,16.754,10.1936960774716,0,42,42,0.608433572727206
12,"mfeat-factors","att70",0,20,0.01,0,0,9.074,4.62322518438728,0,19,19,0.509502444829984
12,"mfeat-factors","att71",0,20,0.01,0,0,9.8475,3.46095837398158,1,20,19,0.351455534296175
12,"mfeat-factors","att72",0,25,0.0125,0,0,9.3625,6.06427914023962,0,24,24,0.647720068383404
12,"mfeat-factors","att73",0,304,0.152,0,0,287.8225,60.9599873177225,111,501,390,0.211797157337326
12,"mfeat-factors","att74",0,361,0.1805,0,0,327.2515,82.3942452697807,125,613,488,0.251776524385009
12,"mfeat-factors","att75",0,435,0.2175,0,0,766.2895,97.2011405314275,511,1164,653,0.126846499307935
12,"mfeat-factors","att76",0,395,0.1975,0,0,630.917000000001,96.5610279929926,463,992,529,0.153048702116114
12,"mfeat-factors","att77",0,313,0.1565,0,0,716.8085,63.0083713103077,432,937,505,0.0879012613694002
12,"mfeat-factors","att78",0,432,0.216,0,0,990.153,112.700689055821,642,1204,562,0.11382148926057
12,"mfeat-factors","att79",0,43,0.0215,0,0,17.675,8.57526341118951,0,42,42,0.485163417889081
12,"mfeat-factors","att80",0,40,0.02,0,0,22.935,7.53745192958439,3,42,39,0.328644078028532
12,"mfeat-factors","att81",0,41,0.0205,0,0,23.367,9.6868069101256,0,40,40,0.414550730094817
12,"mfeat-factors","att82",0,25,0.0125,0,0,10.637,5.48345375949923,0,24,24,0.515507545313456
12,"mfeat-factors","att83",0,20,0.01,0,0,9.9495,3.50415314942816,1,20,19,0.352193894108062
12,"mfeat-factors","att84",0,20,0.01,0,0,8.9735,5.21146595870292,0,19,19,0.580761794027182
12,"mfeat-factors","att85",0,301,0.1505,0,0,323.5215,62.5998874655966,131,503,372,0.193495293096739
12,"mfeat-factors","att86",0,460,0.23,0,0,341.4935,107.846661556835,98,725,627,0.315808826688751
12,"mfeat-factors","att87",0,427,0.2135,0,0,716.0945,95.915449519242,476,1101,625,0.133942446868733
12,"mfeat-factors","att88",0,448,0.224,0,0,578.614,111.761296062854,381,947,566,0.193153459928128
12,"mfeat-factors","att89",0,350,0.175,0,0,722.6915,74.2567327515119,481,1025,544,0.102750250627705
12,"mfeat-factors","att90",0,405,0.2025,0,0,861.481,95.7865866083922,527,1084,557,0.111188275317032
12,"mfeat-factors","att91",0,42,0.021,0,0,17.916,9.2659523491365,0,41,41,0.517188677670044
12,"mfeat-factors","att92",0,36,0.018,0,0,22.762,5.56936845005484,2,37,35,0.24467834329386
12,"mfeat-factors","att93",0,45,0.0225,0,0,21.525,10.8489273484666,0,44,44,0.504015207826555
12,"mfeat-factors","att94",0,25,0.0125,0,0,11.039,5.07487499137556,0,24,24,0.459722347257501
12,"mfeat-factors","att95",0,18,0.009,0,0,9.8585,2.89632043911633,1,18,17,0.293789160533178
12,"mfeat-factors","att96",0,23,0.0115,0,0,13.0585,4.3102629772981,0,22,22,0.330073360439415
12,"mfeat-factors","att97",0,473,0.2365,0,0,383.6025,108.958113185593,73,640,567,0.284039111282104
12,"mfeat-factors","att98",0,390,0.195,0,0,305.8995,88.7298872770505,99,623,524,0.290062217417977
12,"mfeat-factors","att99",0,352,0.176,0,0,768.7595,76.7061704039448,522,1047,525,0.0997791512221244
12,"mfeat-factors","att100",0,494,0.247,0,0,711.34,124.67299257473,460,1099,639,0.175264982392007
12,"mfeat-factors","att101",0,268,0.134,0,0,748.8825,51.2198245698332,554,921,367,0.0683950079883469
12,"mfeat-factors","att102",0,394,0.197,0,0,947.641,93.3222140587031,618,1148,530,0.0984784470687772
12,"mfeat-factors","att103",0,39,0.0195,0,0,22.32,8.84820577138023,3,41,38,0.396424989757179
12,"mfeat-factors","att104",0,44,0.022,0,0,21.183,9.03694329804531,0,43,43,0.426613005619851
12,"mfeat-factors","att105",0,46,0.023,0,0,21.682,11.2015004712049,0,45,45,0.516626716686878
12,"mfeat-factors","att106",0,23,0.0115,0,0,8.135,4.81875348950289,0,23,23,0.592348308482224
12,"mfeat-factors","att107",0,22,0.011,0,0,10.7385,4.77949155452333,0,21,21,0.44507999762754
12,"mfeat-factors","att108",0,20,0.01,0,0,13.1935,4.44566527303394,2,21,19,0.336958750372073
12,"mfeat-factors","att109",0,450,0.225,0,0,355.3445,106.878596252563,128,643,515,0.300774589877045
12,"mfeat-factors","att110",0,342,0.171,0,0,273.2215,76.7535927155685,110,549,439,0.2809207647113
12,"mfeat-factors","att111",0,590,0.295,0,0,756.9605,153.510063544885,440,1268,828,0.202797984234165
12,"mfeat-factors","att112",0,297,0.1485,0,0,803.899,62.611939168686,574,1043,469,0.0778853303321511
12,"mfeat-factors","att113",0,407,0.2035,0,0,952.4655,99.8161682467911,617,1135,518,0.104797673245688
12,"mfeat-factors","att114",0,401,0.2005,0,0,770.153,81.686834682709,536,1099,563,0.106065722892346
12,"mfeat-factors","att115",0,44,0.022,0,0,19.344,10.4120059995405,0,43,43,0.538255066146634
12,"mfeat-factors","att116",0,30,0.015,0,0,20.292,4.812412664956,2,32,30,0.237158124628228
12,"mfeat-factors","att117",0,41,0.0205,0,0,20.267,10.3846343852664,0,40,40,0.512391295468813
12,"mfeat-factors","att118",0,18,0.009,0,0,10.32,3.76187132128665,2,20,18,0.364522414853357
12,"mfeat-factors","att119",0,23,0.0115,0,0,9.1895,5.53379627386122,0,22,22,0.602186873481824
12,"mfeat-factors","att120",0,24,0.012,0,0,6.7675,5.43426254009478,0,23,23,0.802994095322465
12,"mfeat-factors","att121",0,279,0.1395,0,0,319.9235,55.8813117979002,137,479,342,0.174670856620099
12,"mfeat-factors","att122",0,341,0.1705,0,0,303.9905,72.0347826727294,98,666,568,0.236963927072489
12,"mfeat-factors","att123",0,548,0.274,0,0,620.471499999999,140.924799404838,362,1114,752,0.227125338399649
12,"mfeat-factors","att124",0,398,0.199,0,0,727.307,88.8647355344672,459,1082,623,0.122183253474072
12,"mfeat-factors","att125",0,411,0.2055,0,0,868.6855,101.504552493168,523,1045,522,0.116848448020795
12,"mfeat-factors","att126",0,374,0.187,0,0,717.641,79.8424982779574,499,1035,536,0.111256879523268
12,"mfeat-factors","att127",0,43,0.0215,0,0,18.544,10.0543825919174,0,42,42,0.542190605690112
12,"mfeat-factors","att128",0,32,0.016,0,0,22.642,5.31177404185606,2,35,33,0.234598270552781
12,"mfeat-factors","att129",0,45,0.0225,0,0,16.927,9.68202157459306,0,44,44,0.571986859726653
12,"mfeat-factors","att130",0,23,0.0115,0,0,11.834,4.73102899142024,0,24,24,0.399782743909096
12,"mfeat-factors","att131",0,19,0.0095,0,0,9.6825,2.82093470082048,0,18,18,0.291343630345518
12,"mfeat-factors","att132",0,26,0.013,0,0,10.1785,5.12862448855171,0,25,25,0.503868397951733
12,"mfeat-factors","att133",0,364,0.182,0,0,302.0175,83.2527519311046,87,553,466,0.275655390601884
12,"mfeat-factors","att134",0,349,0.1745,0,0,274.7735,79.7276705320947,96,548,452,0.290157786438994
12,"mfeat-factors","att135",0,590,0.295,0,0,841.938500000001,153.511581389028,523,1353,830,0.182331110157129
12,"mfeat-factors","att136",0,441,0.2205,0,0,776.061000000001,105.323139721907,576,1124,548,0.135715027197485
12,"mfeat-factors","att137",0,335,0.1675,0,0,680.3145,71.5539976314288,460,917,457,0.1051778223622
12,"mfeat-factors","att138",0,326,0.163,0,0,732.681,71.1743853894629,538,961,423,0.0971423926503661
12,"mfeat-factors","att139",0,37,0.0185,0,0,18.027,7.61697316130693,0,36,36,0.422531378560322
12,"mfeat-factors","att140",0,35,0.0175,0,0,19.856,7.32428061609272,2,36,34,0.368869894041737
12,"mfeat-factors","att141",0,35,0.0175,0,0,16.959,8.3002871265512,2,36,34,0.489432580137461
12,"mfeat-factors","att142",0,23,0.0115,0,0,11.364,4.66276470426545,0,23,23,0.41031016405011
12,"mfeat-factors","att143",0,19,0.0095,0,0,8.9925,3.55552592907381,0,18,18,0.395387926502509
12,"mfeat-factors","att144",0,23,0.0115,0,0,7.2915,5.44934633123266,0,22,22,0.74735600784923
12,"mfeat-factors","att145",0,278,0.139,0,0,327.7305,60.4558046998877,156,519,363,0.184468045238047
12,"mfeat-factors","att146",0,434,0.217,0,0,291.6535,106.41852230084,80,621,541,0.364879976756116
12,"mfeat-factors","att147",0,501,0.2505,0,0,807.9815,126.634696394454,561,1237,676,0.156729697888446
12,"mfeat-factors","att148",0,492,0.246,0,0,799.305,124.655346667226,548,1187,639,0.155954668952686
12,"mfeat-factors","att149",0,302,0.151,0,0,727.7535,71.3871893490112,468,911,443,0.0980925400551302
12,"mfeat-factors","att150",0,355,0.1775,0,0,684.513,79.0433093523841,498,977,479,0.115473788448699
12,"mfeat-factors","att151",0,37,0.0185,0,0,17.992,7.84198216920767,1,37,36,0.435859391352138
12,"mfeat-factors","att152",0,32,0.016,0,0,20.266,7.21347774173909,5,36,31,0.355939886595238
12,"mfeat-factors","att153",0,35,0.0175,0,0,16.786,8.15287916746959,0,35,35,0.485695172612271
12,"mfeat-factors","att154",0,22,0.011,0,0,8.467,4.79608300659017,0,22,22,0.566444195888765
12,"mfeat-factors","att155",0,18,0.009,0,0,9.3545,3.70644015185726,0,17,17,0.396220017302609
12,"mfeat-factors","att156",0,25,0.0125,0,0,12.5595,3.95174238582704,0,24,24,0.31464169639134
12,"mfeat-factors","att157",0,379,0.1895,0,0,316.5695,86.0540168537084,81,565,484,0.271832936697024
12,"mfeat-factors","att158",0,398,0.199,0,0,312.1375,85.9342361356642,95,614,519,0.275308913974336
12,"mfeat-factors","att159",0,357,0.1785,0,0,615.5555,80.2508007141215,403,952,549,0.130371348666565
12,"mfeat-factors","att160",0,403,0.2015,0,0,674.847,94.4278555350617,470,1029,559,0.139924835607273
12,"mfeat-factors","att161",0,327,0.1635,0,0,755.9615,66.6624028649422,454,967,513,0.0881822723312527
12,"mfeat-factors","att162",0,449,0.2245,0,0,928.871,109.192421217893,555,1202,647,0.117553913533626
12,"mfeat-factors","att163",0,44,0.022,0,0,17.153,8.26018803376634,0,43,43,0.481559379336929
12,"mfeat-factors","att164",0,34,0.017,0,0,21.512,6.3299992452782,4,37,33,0.294254334570389
12,"mfeat-factors","att165",0,46,0.023,0,0,19.301,12.0852979364642,0,45,45,0.626148797288443
12,"mfeat-factors","att166",0,25,0.0125,0,0,10.398,5.35508491690222,0,24,24,0.515011051827488
12,"mfeat-factors","att167",0,22,0.011,0,0,9.1565,5.06051500897666,0,21,21,0.552669143119823
12,"mfeat-factors","att168",0,19,0.0095,0,0,10.0065,2.75249811497419,0,18,18,0.27507101533745
12,"mfeat-factors","att169",0,359,0.1795,0,0,286.7755,72.2354419886087,64,536,472,0.251888470209654
12,"mfeat-factors","att170",0,394,0.197,0,0,308.3285,83.4768697403107,93,604,511,0.270740037785384
12,"mfeat-factors","att171",0,435,0.2175,0,0,686.9865,105.076814217948,477,1088,611,0.15295324466776
12,"mfeat-factors","att172",0,314,0.157,0,0,631.672,68.8193829508437,387,948,561,0.108947971337725
12,"mfeat-factors","att173",0,454,0.227,0,0,941.9585,109.902862097848,479,1179,700,0.116674845120935
12,"mfeat-factors","att174",0,381,0.1905,0,0,757.069,81.1575536426316,508,994,486,0.107199678817428
12,"mfeat-factors","att175",0,44,0.022,0,0,17.492,8.90143548967741,0,44,44,0.508886090194226
12,"mfeat-factors","att176",0,39,0.0195,0,0,20.505,6.84626983877737,0,38,38,0.333882947514136
12,"mfeat-factors","att177",0,45,0.0225,0,0,17.897,11.5895880114497,0,44,44,0.647571548943938
12,"mfeat-factors","att178",0,18,0.009,0,0,9.277,3.00945167758179,0,17,17,0.324399232249843
12,"mfeat-factors","att179",0,22,0.011,0,0,9.1315,4.9888527815559,0,21,21,0.546334422773465
12,"mfeat-factors","att180",0,26,0.013,0,0,9.7095,5.87131551894135,0,25,25,0.604698029655631
12,"mfeat-factors","att181",0,499,0.2495,0,0,358.7025,123.684206288405,69,674,605,0.344809992370849
12,"mfeat-factors","att182",0,402,0.201,0,0,384.4135,85.6970040666709,87,796,709,0.222929226124137
12,"mfeat-factors","att183",0,540,0.27,0,0,855.679500000001,138.476390171998,582,1334,752,0.16183207634634
12,"mfeat-factors","att184",0,416,0.208,0,0,885.601,95.7781735483827,588,1235,647,0.108150480349935
12,"mfeat-factors","att185",0,460,0.23,0,0,1141.5705,122.941633926129,700,1314,614,0.107695174258733
12,"mfeat-factors","att186",0,434,0.217,0,0,654.209,92.3823227992395,417,1061,644,0.141212246849615
12,"mfeat-factors","att187",0,43,0.0215,0,0,18.544,10.0543825919174,0,42,42,0.542190605690112
12,"mfeat-factors","att188",0,43,0.0215,0,0,21.15,8.81426943500347,0,43,43,0.416750327896145
12,"mfeat-factors","att189",0,45,0.0225,0,0,22.968,10.2177873137384,2,46,44,0.444870572698469
12,"mfeat-factors","att190",0,18,0.009,0,0,8.674,4.03371533821053,0,17,17,0.46503520154606
12,"mfeat-factors","att191",0,25,0.0125,0,0,11.1325,5.38854915362108,0,24,24,0.484037651347054
12,"mfeat-factors","att192",0,25,0.0125,0,0,8.7835,5.93500125273238,0,24,24,0.675698895967711
12,"mfeat-factors","att193",0,445,0.2225,0,0,396.4145,102.035470834432,124,673,549,0.257395909671396
12,"mfeat-factors","att194",0,517,0.2585,0,0,435.6885,118.856745415291,121,793,672,0.272802117603038
12,"mfeat-factors","att195",0,474,0.237,0,0,849.6045,111.46792645898,505,1234,729,0.131199783498062
12,"mfeat-factors","att196",0,458,0.229,0,0,821.236,112.785192085561,601,1214,613,0.137335908417996
12,"mfeat-factors","att197",0,255,0.1275,0,0,632.5025,48.494833417428,435,807,372,0.0766713703383433
12,"mfeat-factors","att198",0,463,0.2315,0,0,1122.968,120.263355238854,761,1317,556,0.107094196129234
12,"mfeat-factors","att199",0,46,0.023,0,0,24.421,11.6366861791756,2,48,46,0.476503262731894
12,"mfeat-factors","att200",0,41,0.0205,0,0,21.72,8.88617364454581,2,42,40,0.409124016783877
12,"mfeat-factors","att201",0,44,0.022,0,0,20.619,10.8504241784562,0,43,43,0.526234258618564
12,"mfeat-factors","att202",0,25,0.0125,0,0,10.115,5.11339891111696,0,25,25,0.505526338222141
12,"mfeat-factors","att203",0,25,0.0125,0,0,12.9015,4.46293139408552,0,24,24,0.345923450303106
12,"mfeat-factors","att204",0,19,0.0095,0,0,9.0045,3.56732990783522,0,18,18,0.396171903807566
12,"mfeat-factors","att205",0,303,0.1515,0,0,345.1185,64.94422479264,144,534,390,0.188179494268316
12,"mfeat-factors","att206",0,330,0.165,0,0,320.7825,69.4870953628152,145,565,420,0.216617475588023
12,"mfeat-factors","att207",0,550,0.275,0,0,727.2215,144.196257642524,445,1211,766,0.198283820875103
12,"mfeat-factors","att208",0,472,0.236,0,0,642.191,118.559304457038,425,1012,587,0.184616888833755
12,"mfeat-factors","att209",0,292,0.146,0,0,641.214499999999,56.5856559384001,427,853,426,0.0882476237489953
12,"mfeat-factors","att210",0,391,0.1955,0,0,687.381,82.7257796355414,461,1049,588,0.120349238101637
12,"mfeat-factors","att211",0,30,0.015,0,0,17.766,5.23611998298722,1,30,29,0.294727005684297
12,"mfeat-factors","att212",0,38,0.019,0,0,21.584,7.98234319617058,1,38,37,0.369826871579437
12,"mfeat-factors","att213",0,36,0.018,0,0,17.612,5.88445149395357,1,36,35,0.334116028500657
12,"mfeat-factors","att216",0,24,0.012,0,0,13.4525,4.63718616164468,0,23,23,0.344708133183027
14,"mfeat-fourier","att1",0,1990,0.995,0,0,0.1855442645,0.0918978955570771,0.004928,0.395772,0.390844,0.495288258059183
14,"mfeat-fourier","att2",0,1987,0.9935,0,0,0.377310561499999,0.176230660572629,0.009,0.771281,0.762281,0.467070574096901
14,"mfeat-fourier","att3",0,1991,0.9955,0,0,0.2693776555,0.1379803733863,0.005624,0.665372,0.659748,0.512219074481847
14,"mfeat-fourier","att4",0,1984,0.992,0,0,0.2656863055,0.110694289801071,0.010114,0.748012,0.737898,0.416635285709413
14,"mfeat-fourier","att5",0,1990,0.995,0,0,0.300366593999999,0.156255876150643,0.00209,0.796487,0.794397,0.520217225456979
14,"mfeat-fourier","att6",0,1992,0.996,0,0,0.1583138795,0.0890218649778977,0.002676,0.483342,0.480666,0.56231244701383
14,"mfeat-fourier","att7",0,1990,0.995,0,0,0.364770502500001,0.144367174234315,0.011919,0.750938,0.739019,0.395775352570662
14,"mfeat-fourier","att8",0,1992,0.996,0,0,0.247213329,0.12385634822721,0.001737,0.542303,0.540566,0.501009992981446
14,"mfeat-fourier","att9",0,1992,0.996,0,0,0.2886567925,0.115911925897438,0.010604,0.702383,0.691779,0.401556204146616
14,"mfeat-fourier","att10",0,1991,0.9955,0,0,0.151715543,0.0872239683495682,0.002342,0.584942,0.5826,0.574917814119864
14,"mfeat-fourier","att11",0,1985,0.9925,0,0,0.1571189525,0.0863438589262107,0.003293,0.423636,0.420343,0.549544517401302
14,"mfeat-fourier","att12",0,1989,0.9945,0,0,0.166569233,0.0828006257605514,0.00275,0.506974,0.504224,0.497094356918552
14,"mfeat-fourier","att13",0,1989,0.9945,0,0,0.1642457865,0.0912233379411238,0.001424,0.471881,0.470457,0.555407477324381
14,"mfeat-fourier","att14",0,1986,0.993,0,0,0.1905818075,0.110285015943433,0.005902,0.635803,0.629901,0.578675464306493
14,"mfeat-fourier","att15",0,1988,0.994,0,0,0.14243463,0.0642193512169693,0.006472,0.382988,0.376516,0.450868943998867
14,"mfeat-fourier","att16",0,1978,0.989,0,0,0.114983104,0.0586699010907397,0.002901,0.366277,0.363376,0.510248019489364
14,"mfeat-fourier","att17",0,1984,0.992,0,0,0.1276784375,0.0657593048305256,0.002873,0.462718,0.459845,0.515038452209486
